,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5201,-0.0368891060352326,0.0058149695396423895,0.035429731011390686,0.049106314778328,-0.07987996935844421,0.08105826377868647,0.0244047492742539,-0.035852089524269104,-0.13921144604682922,0.05097132921218872,-0.0334006249904632,-0.04983696341514582,0.11791616678237915,0.1539966762065888,0.04452815651893621,0.20720073580741882,0.0043885111808776855,0.003153979778289795,0.04064092040061951,-0.09141498804092407,-0.07647240161895752,-0.1042090654373169,0.19884373247623438,0.14928142726421362,0.23802238702774048,0.21266517043113714,-0.015011519193649348,-0.10643401741981512,0.13024726510047913,0.17460337281227112,0.21307417750358582,0.21954911947250366,-0.05491809546947479,0.015794977545738303,0.0743764340877533,-0.05428215861320501,-0.08565396070480352,-0.008800804615020752,-0.0003119409084319513,0.0008025169372558039,-0.04909169673919678,0.05293405055999756,0.052495419979095403,0.1584624648094178,0.1504646241664887,0.1537124514579773,0.2322737723588943,0.19376257061958319,-0.05364492535591131,0.07998892664909363,-0.06980076432228088,0.07988989353179932,0.07166141271591192,-0.019026517868041992,-0.13275021314620972,0.11327040195465088,0.00585362315177923,-0.07354956865310669,0.14374935626983643,0.18671095371246338,0.1766015589237213,0.05255353450775152,0.05407008528709417,0.07221442461013794,0.09069916605949407,0.15388464927673345,0.1184121817350387,0.04958269000053411,0.04872748255729681,-0.013850212097167969,0.16671624779701227,0.24422505497932434,0.12841922044754034,0.09132656455039984,0.014232456684112549,0.029698699712753296,-0.03130529820919037,-0.1478846371173858,0.12680968642234802,0.023608624935150146,-0.010954529047012385,0.050741821527481135,0.11066809296607971,-0.033099621534347534,-0.036737054586410495,0.12326042354106903,0.34354931116104126,-0.19732517004013062,-0.08280196785926819,-0.1947806179523468,0.16504144668579102,-0.14764487743377686,-0.0036258697509765625,,0.1469815969467163,0.15837830305099487,0.06477084755897522,0.0754514634609223,0.1966376006603241,0.2023144960403443,,,,,,,,,-0.04644125699996937,0.09526556730270386,0.07619708776474005,-0.033364176750183105,0.015115797519683727,0.4105946421623229,,0.3688429594039917
P5203,0.016738876700401306,-0.06087188422679907,-0.01628927886486059,-0.03806896507740018,0.05392865836620331,-0.0953610241413117,-0.07811611890792841,-0.02922897040843961,-0.06324741244316101,-0.028169631958007812,0.049604505300521795,-0.00954470038414007,0.27145758271217346,0.21793892979621887,0.03040257096290594,0.02237680554389959,-0.20819607377052307,0.04187026619911194,-0.12255443632602689,-0.0862105786800384,0.0767621397972107,0.1331436932086945,-0.08348900079727178,-0.04967257380485535,-0.033488899469375666,-0.0334943532943725,-0.036492228507995605,0.05650997161865229,-0.136975646018982,-0.029159367084503174,-0.1810413897037506,-0.1105466485023498,0.013089537620544434,-0.05426080524921423,-0.171380877494812,-0.1871797740459442,0.09674525260925299,0.16791345179080963,0.034367024898529,0.21992537379264832,-0.03294527530670166,-0.11567628383636475,-0.05727681517601019,0.028184175491333008,-0.11695531010627741,-0.17390215396881098,-0.03750014305114746,-0.054235577583313044,-0.2442380338907242,-0.1115958988666535,-0.03988231718540189,-0.0830212533473968,0.010453343391418402,-0.05178755521774292,0.019321799278259305,-0.0350801944732666,-0.0021211206912994107,-0.0934649258852005,-0.16363090276718142,-0.2187470644712449,0.035614401102066096,-0.053739011287689264,-0.14470627903938293,-0.1118890643119812,-0.106659084558487,-0.034341573715209905,0.035155907273292625,-0.08467663824558261,-0.10760353505611417,0.04229220747947693,0.041819989681243896,-0.01207849383354187,-0.15920877456665045,-0.15172970294952387,0.037019312381744385,-0.24678456783294678,-0.34815552830696106,-0.3288814127445222,-0.13332650065422064,-0.08461424708366394,-0.17653396725654602,-0.020773649215698242,-0.27002665400505066,0.1714203953742981,0.0781493932008743,0.016799598932266208,0.1609957218170166,0.19974792003631592,-0.06448079645633698,-0.0789280235767364,-0.05439788103103638,-0.19575807452201843,-0.20272040367126454,-0.05095386505126953,-0.05164521932601929,0.11458367109298712,0.11233723163604731,0.14789414405822748,-0.22729983925819403,-0.05838766694068914,0.00016283988952625617,0.00852292776107788,-0.005595743656158447,-0.018218815326690563,0.024548828601837158,0.1121644377708435,0.0598094761371612,-0.010752737522125244,-0.00661545991897583,0.1560343205928803,-0.17212674021720892,-0.017344564199447576,-0.24720007181167603,0.13295108079910278,0.2311551570892334,0.24591338634490967
P5205,0.14093832671642303,0.10195869207382197,-0.059392303228378296,-0.004939019680023193,-0.09892499446868902,-0.08112034201622009,-0.05137333273887629,-0.022205621004104614,0.004854470491409302,-0.04729539155960083,0.03883445262908941,0.1220439076423645,0.04396253824234009,0.1290738135576248,0.05528837442398071,0.0685225576162338,0.0259657502174378,0.01892808079719549,-0.04771691560745239,-0.0478309690952301,0.006139934062957764,0.07950258255004888,0.04265037178993225,0.08528694510459897,0.08452478051185613,-0.05251219868659979,0.22785356640815735,0.14413514733314509,0.007875651121139582,-0.045136928558349554,-0.08181610703468323,-0.10887330770492554,-0.022538542747497503,-0.04601064324378962,0.11207494139671331,0.047408878803253174,0.07142004370689392,0.04609239101409912,0.0817784965038299,0.0596485435962677,0.1514188051223755,0.0712270438671112,0.26548877358436584,0.2690657079219818,0.0632990300655365,-0.021086931228637695,0.1736639142036438,0.16202253103256226,0.1931436955928803,0.13516265153884893,0.2081804871559143,0.1944215595722199,0.02977526187896734,-0.014001399278640692,0.21227368712425232,0.17289686203002935,0.04052937030792231,0.03832215070724479,0.019843041896820096,0.07659858465194697,0.061977207660675104,0.1036452949047088,0.08819755911827093,0.0226898193359375,0.168319970369339,0.009109199047088679,0.17249836027622228,0.131240501999855,-0.05462527275085449,-0.0488602221012116,0.047251164913177435,0.04772526025772095,-0.05176222324371338,-0.03526437282562256,-0.03156155347824097,0.0665481686592102,-0.08767986297607422,-0.09326007962226868,-0.043108999729156494,-0.05267530679702759,0.1459667682647705,0.22122302651405337,0.10424438118934631,0.07452777028083801,0.09080410003662112,0.11230248212814328,0.15441378951072698,0.1326149702072143,-0.003980234265327509,0.028500646352768,-0.07035326957702642,-0.16758152842521667,-0.2188018560409546,-0.16716307401657104,-0.12383303046226501,-0.21922749280929565,-0.1452739536762238,-0.11260226368904114,0.1623479127883911,0.03954720497131353,0.059267818927765004,0.050147175788879395,0.09420651197433472,0.061020076274871826,0.027549564838409424,-0.014457345008850098,0.24648374319076544,0.1862100064754486,0.005317270755767822,-0.03621506690979004,0.022702723741531428,0.1198900043964386,-0.003309279680252075,-0.004334390163421631,-0.10936427116394043,0.01289522647857666
P5206,0.03515087068080899,0.2052003294229508,-0.053556621074676514,-0.0306538939476014,-0.06036888062953952,-0.07761651277542109,-0.0221539288759231,0.021899700164794894,-0.06332133710384372,-0.08154892921447748,0.041691333055496216,0.15153095126152039,0.06602826714515692,0.104463666677475,0.033090353012084905,0.013222888112068204,-0.07896429300308228,-0.036772698163986206,0.03876069188117981,0.06110513210296631,-0.0007387995719909113,-0.08179783821105963,0.15186339616775518,-0.12213626503944403,-0.010869801044464111,0.024772018194198664,-0.037282079458236694,-0.08413618803024292,0.05888444185256958,0.10501337051391602,-0.0018372535705566961,-0.00500985980033869,0.1029791533946991,0.003524839878082303,-0.00797814130783081,0.0115928053855896,-0.10763335227966309,0.05278697609901428,-0.09882575273513802,-0.11341100931167603,-0.08261027932167059,-0.03026148676872248,0.13078159093856812,0.15105891227722168,0.11356246471405029,0.05859443545341486,0.09040281176567078,-0.008170604705810547,0.12411181628704077,0.10344776511192322,0.078854113817215,0.18845626711845398,0.027760744094848577,0.06235256791114807,0.12177902460098261,0.1537073850631714,0.015336751937866211,0.1851086020469666,0.05786523222923279,-0.01666957139968872,-0.04386970400810242,0.08210864663124079,-0.03313940763473505,-0.01894277334213257,0.07340690493583679,0.0537694394588471,0.10632151365280157,0.08664214611053472,-0.07054939866065979,-0.14532469213008878,-0.06397488713264465,0.014059722423553411,0.12051665782928467,0.14525198936462402,0.07704660296440125,0.09528833627700806,0.12237554788589478,0.148318350315094,0.0905296802520752,-0.02952265739440918,-0.0707399845123291,0.07648593187332148,-0.1166416555643082,0.030169188976287786,0.002317965030670166,0.04802632331848139,-0.017890900373458807,0.05475056171417231,-0.006549656391143799,0.0013950765132904053,-0.020809501409530695,-0.07892739772796631,-0.0348609983921051,-0.05084925889968872,-0.10589718818664551,-0.12946242094039923,0.024660050868988037,-0.021822839975357083,0.048284173011779785,0.09951356053352356,-0.13029390573501587,0.011598646640777588,-0.16033029556274414,-0.033721089363098145,0.030210882425308283,0.03185558319091797,-0.09280931949615479,-0.09333592653274536,0.03307676315307623,-0.031096071004867498,-0.03836020827293396,0.07659313082695013,0.042477488517761286,-0.0444033145904541,0.027781307697296198,-0.037092506885528564
P5207,-0.0704085528850556,-0.12235751748085022,0.055317074060440063,0.07961362600326538,-0.12662148475646978,0.22498968243598944,-0.023581132292747525,0.031643748283386175,-0.01889452338218689,0.21194320917129517,0.0790342390537262,-0.2359384000301361,0.01845943927764887,-0.07707458734512329,0.015438050031662043,0.2320856750011444,0.1257912814617157,-0.025159388780593872,-0.13334366679191595,-0.3556167483329773,-0.11130252480506897,-0.07687750458717352,-0.11386293172836298,-0.0986319482326507,-0.06081929802894598,0.10260039567947393,0.002315193414688055,-0.15765690803527832,0.17227506637573248,0.02153345942497259,-0.21329018473625183,-0.2254739403724671,-0.08334127068519592,-0.07918131351470947,-0.1289055347442627,-0.14268124103546143,-0.0835525393486023,0.06447473168373108,-0.2854381203651428,-0.09126847982406622,0.15667629241943365,0.1232986450195313,-0.009913831949234009,-0.208703100681305,0.030126273632049616,0.02069839835166931,-0.1282627284526825,-0.031631290912628174,0.00115805864334112,0.07317912578582764,0.02170097827911377,-0.052852183580398615,-0.1091803610324859,-0.07940912246704102,-0.009456127882003784,0.058396011590957586,-0.08799377083778376,-0.1716775298118592,0.049054890871047974,0.049625337123870794,0.013342738151550293,0.1710173785686493,-0.13693886995315552,-0.1977638304233551,-0.02487015724182129,-0.12462079524993896,0.026018559932708796,0.0698930025100708,-0.051213592290878296,-0.07917207479476929,-0.015510022640228216,-0.18288850784301763,0.04178905487060547,-0.03112882375717163,0.02587306499481201,-0.05374997854232788,-0.1061837375164032,-0.01330676674842829,0.02705550193786621,0.07379639148712158,0.024389237165451105,0.026045203208923284,0.03401893377304077,-0.041188061237335205,-0.09845900535583496,0.011929646134376581,0.07179653644561768,0.06664532423019409,0.0222251415252685,0.06098079681396479,-0.05237653851509089,0.033176749944686834,-0.27889528870582586,-0.0886337161064148,-0.06703692674636841,-0.09464216232299805,-0.17118382453918463,-0.08586281538009644,-0.03385207056999201,-0.1453517079353333,-0.018886446952819824,-0.34936216473579407,-0.035288453102111816,-0.028226137161254883,-0.05296522378921509,-0.09448999166488647,0.036356449127197266,0.000795900821685569,0.032207190990448,-0.043938517570495605,-0.16343545913696295,-0.10124653577804565,-0.25589442253112793,-0.10483038425445557,-0.13781237602233887,0.0044403076171875
P5208,-0.0831694602966308,0.027687400579452515,-0.06828477978706363,-0.0465720742940903,-0.0988726764917374,-0.17054393887519842,-0.04196952283382421,-0.0950402021408081,-0.062181472778320396,-0.11222285032272339,-0.09032240509986883,0.09106293320655823,-0.08540704846382141,-0.03519713878631586,0.020285218954086304,-0.04154227674007421,-0.15748897194862366,-0.0751904547214508,-0.039984166622161865,0.017424166202545166,0.0669365823268891,-0.1481039375066758,-0.012677356600761386,0.03935572504997248,-0.1349140107631684,-0.1348125040531158,-0.1790531873703003,-0.08570149540901181,-0.17826572060585028,-0.14048528671264648,-0.1254835277795791,-0.1396576315164566,0.0635372400283814,0.06135565042495722,-0.057781547307968195,-0.09942767024040222,-0.10039249062538153,0.029619991779327393,-0.08842575550079351,0.018734112381935203,-0.13562700152397156,-0.152823805809021,0.13812106847763062,0.0792924165725708,0.03835234045982361,0.10870978236198425,0.08977389335632324,0.04973059892654419,-0.1243676245212555,-0.030090481042861883,-0.08663597702980042,-0.042250305414199774,0.07252401113510132,-0.2060100436210633,-0.08419507741928098,-0.15061110258102417,0.039012700319290106,0.1178632527589798,0.12956690788269049,0.0830586850643158,-0.07028532028198242,-0.062177687883377075,-0.030535489320755005,-0.021288692951202393,0.14496108889579773,0.04598242044448858,0.048521786928176935,0.044068694114685,-0.008749052882194491,-0.1265906691551209,-0.06269660592079157,-0.08135545253753662,-0.013539671897888184,-0.055572390556335394,-0.009312450885772705,-0.04691672325134277,-0.07607914507389071,-0.07385586202144628,-0.19418877363204956,-0.09142419695854181,-0.04042240977287298,-0.023585826158523504,-0.0432515293359757,0.039743244647979736,0.020918905735015925,0.0024761855602264404,-0.018251538276672363,0.09105309844017029,-0.02915842831134799,-0.017067924141883795,0.13103270530700684,0.03932921588420868,0.018536925315856934,0.03240534663200384,-0.3141230940818787,-0.12906840443611145,-0.13584643602371216,-0.009226620197296087,0.031861335039138794,-0.0904701948165893,-0.008130013942718395,-0.11619758605957031,0.020942389965057373,-0.00676804780960083,0.04996025562286377,0.04813474416732788,-0.09669804573059082,0.014337003231048584,-0.2849040627479553,-0.08953571319580078,-0.19733065366744995,-0.01737752556800848,-0.06440567970275884,-0.157903254032135,0.04788178205490112,0.06080907583236694
P5209,-0.129913941025734,-0.188402459025383,-0.24038361012935638,-0.36479504406452185,-0.14639125764369967,-0.21120856702327728,-0.3840738758444786,-0.29431556165218353,-0.05963608622550959,-0.2419976443052292,-0.22550339996814728,-0.3187443166971207,-0.1705151498317719,-0.27038550376892095,-0.1063164472579956,-0.19439843297004702,-0.1083038747310639,-0.3022449314594269,-0.16522254049777982,-0.13461492955684667,0.20979207754135132,0.041074872016906794,-0.4143678396940232,-0.3759023249149323,-0.11948838829994202,-0.20267659425735474,-0.041696339845657404,-0.15861059725284576,-0.26439478993415844,-0.1950720697641373,-0.4502117931842804,-0.4641583412885666,-0.1319679915904999,-0.14494526386260992,0.14376264810562134,0.15804541110992432,-0.1403378397226334,-0.07164657115936274,-0.04813078045845037,0.07274249196052551,0.1270627081394196,0.06485795974731445,-0.12492558360099792,-0.17862814664840698,-0.12105399370193481,-0.006531447172164917,-0.08053365349769592,-0.15515676140785223,-0.03133180737495428,-0.07334780693054199,-0.18264988064765933,-0.1771461218595505,-0.04939490556716919,-0.18907922506332397,-0.12480546534061429,-0.0758899450302124,-0.08443264663219452,-0.2292236238718033,-0.3475044518709183,-0.2872430086135864,-0.2691810131072998,-0.1128876805305481,0.026869475841522217,-0.14367842674255377,-0.003096282482147217,-0.004124462604522705,0.11941638588905329,0.052444666624069214,-0.18894720077514648,-0.17976665496826172,-0.4414637237787248,-0.37633238732814794,-0.11608791351318365,-0.21091100573539734,-0.10363727807998657,-0.0704495906829834,-0.2480801790952683,-0.24818083643913275,-0.0227746963500976,-0.22098848223686218,-0.0643870681524277,-0.20611165463924408,-0.11679907143115997,-0.0766994953155517,-0.03793376684188843,-0.05128344893455508,-0.06879591941833496,-0.008063137531280518,-0.12382714450359347,-0.1618913561105729,-0.17870935797691345,-0.19479942321777344,-0.04941403865814209,0.13916811347007751,-0.09401088953018188,-0.14125186204910278,-0.32435616850852966,-0.2460687756538391,-0.28781940042972576,-0.166886329650879,-0.32393214106559753,0.127708911895752,-0.17909181118011475,-0.05842167139053367,-0.04464256763458252,-0.03822857141494762,0.2847452759742737,0.3063257932662964,-0.10859662294387817,-0.008966505527496338,-0.40990912914276123,-0.4719789326190949,-0.1752399206161499,-0.31297391653060924,0.1039183735847472,0.0069141387939453125
P5210,0.05619615316390991,-0.006844267249107389,0.03105966746807101,-0.008988067507743808,0.09470622241497043,-0.04224318265914917,0.016847968101501493,0.006916344165802002,-0.12330716848373413,-0.07678842544555664,0.12243551015853882,-0.023028492927551325,0.060827046632766724,0.0022422373294830877,0.027768880128860474,-0.007404714822769165,0.024986833333969116,0.06532153487205511,-0.003989368677139338,-0.04010388255119329,0.12608933448791498,0.10685896873474121,-0.026348024606704712,0.007863789796829168,0.041238188743591364,-0.007180631160736084,0.06463596224784851,0.018255025148391724,0.01903946697711939,0.0723131000995636,-0.07910455763339999,-0.049669623374938965,0.000870436429977417,0.017761558294296292,0.0033760368824005127,0.03461655974388128,-0.028193473815918024,-0.058307185769081116,-0.016519024968147195,0.023727491497993525,0.0713067352771759,-0.00556448101997381,0.09712633490562439,0.05192553997039795,0.07052609324455261,-0.011071801185607855,0.10079014301300049,0.15495547652244568,0.029241740703582708,0.0996987521648407,0.05048865079879761,0.029087990522384588,0.014631569385528592,0.00874218344688421,0.02055297791957858,0.010837152600288391,0.03440225124359131,-0.0871879309415817,-0.03940930962562561,0.05602496862411502,0.01798546314239502,0.028361171483993586,0.04825523495674128,0.07353171706199646,-0.11989876627922058,-0.13292661309242243,0.09294763207435608,0.12370043992996216,-0.018263608217239324,0.08749344944953918,-0.041548699140548706,0.02830615639686579,0.10033121705055237,0.011226862668991089,0.08284029364585882,-0.005801498889923096,-0.007181152701377896,-0.019536256790161105,0.010121703147888184,0.009161949157714844,0.002244174480438288,0.0105648934841156,-0.06180110573768621,0.16270571947097778,-0.006584078073501587,-0.003459274768829401,0.11360418796539307,0.14321365952491766,0.1100667864084244,0.08626000583171839,0.09614735841751099,-0.046595871448516846,0.10397517681121832,-0.13514098525047308,-0.10794961452484131,0.042353242635726984,0.0022841989994049072,-0.0911383330821991,0.03907918930053711,0.12530747056007385,0.036120951175689586,0.08567255735397339,0.0633232593536377,-0.003994762897491455,-0.0030373334884643555,0.04285567998886097,-0.11181741952896129,-0.1618250608444214,0.17205125093460083,0.036328613758087214,-0.04463502764701838,-0.0843600332736969,-0.0037713050842285156,0.22626039385795593,0.1442877054214478,-0.03005307912826538
P5211,-0.038174569606781006,-0.1929608285427093,0.03129440546035761,-0.06595435738563543,0.07759891450405118,-0.0689933001995087,-0.011970102787017795,-0.05380654335021967,-0.044995456933975164,0.004839539527893066,-0.056540727615356445,-0.07336598634719854,-0.055254131555557306,-0.09748923778533941,-0.0605773329734802,-0.056396275758743286,-0.050739765167236384,-0.10218891501426697,0.008506298065185491,-0.14341875910758972,0.04136508703231817,-0.011325120925903265,-0.08156830072402949,-0.07431593537330633,-0.01075634360313421,0.02319711446762085,0.0680995881557464,-0.005207926034927368,-0.06952041387557983,-0.0867380797863006,0.08430308103561407,0.030010849237442017,-0.0022055208683013916,0.03190626204013819,-0.02726459503173828,0.06205075979232788,0.06288091838359833,0.0579688251018525,0.11087828874588021,0.0618097931146622,0.03928807377815241,-0.11222505569458002,-0.05917835235595703,-0.18743187189102173,-0.0986468493938446,0.1004807054996491,-0.17579424381256112,-0.1595926284790039,-0.08154457807540899,-0.05251950025558472,-0.0707698911428451,-0.16608709096908575,0.06101229786872858,0.005446106195449829,-0.11761301755905146,-0.16633738577365872,0.0013143271207808893,0.05535179376602173,-0.01162144541740423,-0.002763509750366211,0.030026733875274714,0.029085427522659302,-0.1511035859584809,-0.08427420258522039,-0.027235031127929688,-0.12716549634933472,0.06345665454864502,0.0753057599067688,-0.013548731803893987,-0.004295036196708707,-0.027132958173751914,-0.02347105741500849,-0.19604089856147772,-0.17175450921058655,-0.09666174650192261,-0.19789800047874456,-0.14482781291008004,-0.0165496617555618,-0.07729870080947876,0.006805598735809326,-0.227100670337677,0.04705625772476202,0.08751392364501953,0.3455279469490051,-0.030315786600112915,-0.05326496064662928,-0.01391717791557312,0.02009919285774231,0.07955682277679438,-0.0008486360311508179,0.037679880857467596,-0.008860856294631958,-0.028652966022491455,-0.038830399513244684,0.1473579704761505,0.3070683479309082,0.17073938250541681,0.11456464231014252,0.015255361795425387,-0.01861955225467682,-0.0018036961555479847,-0.010843873023986816,0.0573045015335083,0.07755511999130249,0.09656357765197754,0.016576766967773438,0.027117133140563965,-0.03994542360305786,-0.16847330331802374,0.08095079660415655,0.062346190214157104,0.10878720879554749,0.046738296747207586,0.03175991773605341,0.05248862504959112,0.07699576020240789
