,TCpol,TCs,Amyg,OFCi,INSa,OFCm,TCc,OFCl,TCi,PHC,INS-G,PMCvl,VACv,INSp,PFCpol,HIP,sACC,PFCvl,V2,PFCm,TCv,VACd,V1-right,PFCcl,A2,CCr,CCp,ACC,S2,S1,A1,M1,PCi,PCm,PFCdm,PCip,PCs,FEF,PFCdl,PMCm,PMCdl,Thal-Front,Thal-Temp,Thal-OccPar,BG-caud,BG-put,BG-pall,BG-nac,TCpol.1,TCs.1,Amyg.1,OFCi.1,INSa.1,OFCm.1,TCc.1,OFCl.1,TCi.1,PHC.1,INS-G.1,PMCvl.1,VACv.1,INSp.1,PFCpol.1,HIP.1,sACC.1,PFCvl.1,V2.1,PFCm.1,TCv.1,VACd.1,V1-left,PFCcl.1,A2.1,CCr.1,CCp.1,ACC.1,S2.1,S1.1,A1.1,M1.1,PCi.1,PCm.1,PFCdm.1,PCip.1,PCs.1,FEF.1,PFCdl.1,PMCm.1,PMCdl.1,Thal-Front.1,Thal-Temp.1,Thal-OccPar.1,BG-caud.1,BG-put.1,BG-pall.1,BG-nac.1
P5201,0.8280657529830933,0.1974209547042846,0.7982335686683655,0.514313280582428,0.7119796276092529,0.4302614033222198,0.4739169180393219,0.4587647616863251,0.6642636060714722,0.3822404742240906,0.6066677570343018,0.3287727832794189,0.5774285793304443,0.3186185359954834,0.4662445485591888,0.5621775984764099,0.4375745058059692,0.3490354716777801,0.4261489510536194,0.6292192339897156,0.5834681391716003,0.3944108784198761,0.37798672914505,0.2965691089630127,0.5230514407157898,0.6199283003807068,0.3216278254985809,0.3797571361064911,0.4062980413436889,0.255433052778244,0.6052453517913818,0.2893869578838348,0.3936615586280823,0.3753707110881805,0.4567312896251678,0.4865270256996155,0.4374249577522278,0.4186537265777588,0.289948970079422,0.2834579050540924,0.2747336626052856,0.2922112643718719,0.3105001747608185,0.3417167067527771,0.455553263425827,0.4669705331325531,0.5235626101493835,0.6090908050537109,0.4544110000133514,0.1663481891155243,0.3465049266815185,0.4053658246994018,0.3101822137832641,0.3080413043498993,0.3380967378616333,0.3334895968437195,0.6159855723381042,0.4362526535987854,0.4984523355960846,0.3284517824649811,0.432589054107666,0.2771379351615906,0.5248963236808777,0.3737646341323852,0.3777747452259063,0.386645644903183,0.3676097989082336,0.6976455450057983,0.5400449633598328,0.3229387700557709,0.429860383272171,0.2875002026557922,0.3596550226211548,0.5442821979522705,0.2829791605472564,0.3887484669685364,0.3335004150867462,0.4053032100200653,0.4407172501087188,0.300857663154602,0.3241097331047058,0.3454238176345825,0.4152589738368988,0.4149121046066284,0.4185308814048767,0.3908990919589996,0.2404067814350128,0.3138866126537323,0.3183510899543762,0.2471166253089904,0.2561973333358764,0.4172622561454773,0.5109601020812988,0.450255811214447,0.6212267279624939,0.4548042714595794
P5203,0.3160479962825775,0.2188177406787872,0.6033740639686584,0.4041254818439483,0.380780816078186,0.2576936483383178,0.2073415219783783,0.2394614815711975,0.4250934720039367,0.3899348676204681,0.3971786499023437,0.3529830873012543,0.3186377882957458,0.2874302268028259,0.3152071237564087,0.4472026824951172,0.3163505494594574,0.299782931804657,0.362301230430603,0.3506100475788116,0.2205099761486053,0.2599577605724334,0.4006526172161102,0.2260421514511108,0.2365770190954208,0.3788965046405792,0.3073232173919678,0.2243615388870239,0.3833086192607879,0.2253672182559967,0.4193646907806396,0.1612394899129867,0.3010687232017517,0.2485479116439819,0.3022377490997314,0.1869088411331176,0.2283966392278671,0.3051036596298218,0.2494471222162246,0.2210884988307953,0.2754593193531036,0.2963171303272247,0.2324653714895248,0.2705237567424774,0.3306083381175995,0.2614385783672333,0.4891940951347351,0.5146243572235107,0.4183564484119415,0.2204682379961013,0.5942860841751099,0.3837358653545379,0.4094239771366119,0.265856385231018,0.2874187529087066,0.275408923625946,0.4479789435863495,0.4584239721298218,0.3075459003448486,0.3630143702030182,0.4842825829982757,0.2570996880531311,0.3691534996032715,0.3741798102855682,0.2629143595695495,0.3121894598007202,0.518294632434845,0.3843542635440826,0.310903936624527,0.1929647028446197,0.3721954524517059,0.2287391871213913,0.4570745527744293,0.4290451407432556,0.3543690145015716,0.2340136766433715,0.284683883190155,0.1922377347946167,0.3444265127182007,0.1955617815256118,0.2807606160640716,0.2632094323635101,0.3275258839130401,0.2329942733049392,0.2365026473999023,0.3278354108333587,0.274610698223114,0.2066453397274017,0.2631066143512726,0.294271320104599,0.2566873133182525,0.304751992225647,0.317099004983902,0.3288373351097107,0.4583356976509094,0.4388927817344665
P5205,0.348829448223114,0.2834053635597229,0.4376682639122009,0.3087932467460632,0.3692335188388824,0.2608566582202911,0.3565525114536285,0.2755206227302551,0.602095365524292,0.3676771223545074,0.323722630739212,0.296735405921936,0.4429695606231689,0.3568050265312195,0.350016713142395,0.3444326221942901,0.3753412365913391,0.1860405653715133,0.4096786081790924,0.3159575164318084,0.5692417621612549,0.4006735384464264,0.6874037981033325,0.2578176856040954,0.5276934504508972,0.4926934838294983,0.3855309188365936,0.3152723014354706,0.3673184812068939,0.2574705183506012,0.5275031924247742,0.2277125567197799,0.2353708148002624,0.3460255861282348,0.3501297533512115,0.2783935070037842,0.3792881667613983,0.3576753437519073,0.3300027251243591,0.2925178706645965,0.3205841481685638,0.3277974724769592,0.3451591730117798,0.3139043152332306,0.5138243436813354,0.4904469847679138,0.4855734407901764,0.4243454337120056,0.303742915391922,0.2472162991762161,0.5535940527915955,0.3134761154651642,0.5326989889144897,0.3286239802837372,0.2345592379570007,0.2934155464172363,0.7057900428771973,0.3349376916885376,0.3161137402057647,0.2614704370498657,0.4544355273246765,0.2830566763877868,0.479609340429306,0.2701210081577301,0.4282043278217315,0.2376709729433059,0.4778281152248382,0.418375551700592,0.5220963954925537,0.4806490540504455,0.741856575012207,0.2717571258544922,0.5092766880989075,0.4698696434497833,0.4022834300994873,0.2725097835063934,0.3830541968345642,0.2717525362968445,0.4679051339626312,0.2456903457641601,0.2432243674993515,0.4706812500953674,0.3605893552303314,0.2631798684597015,0.4368555545806885,0.3455246388912201,0.3556365072727203,0.2966463565826416,0.3688549697399139,0.3981243968009949,0.3343443870544433,0.3241328597068786,0.5180395841598511,0.466349184513092,0.4861123263835907,0.4164519608020782
P5206,0.1813867688179016,0.1912158280611038,0.4023315608501434,0.2490196675062179,0.4436922669410705,0.1919902861118316,0.2611212730407715,0.1612159162759781,0.6535608172416687,0.2078316360712051,0.3235772848129272,0.3631279468536377,0.4092708528041839,0.3942441940307617,0.3872970640659332,0.2523013651371002,0.3388264775276184,0.2121613323688507,0.5164033770561218,0.3317169547080993,0.5365110039710999,0.2868416905403137,0.6197881698608398,0.1946583241224289,0.5100365877151489,0.3233161568641662,0.2935204803943634,0.2117569893598556,0.3811504244804382,0.4227210879325866,0.6016963720321655,0.2247185558080673,0.2741788625717163,0.3674342632293701,0.3096344769001007,0.3405240774154663,0.4120516777038574,0.3340088129043579,0.3009808957576751,0.3181386291980743,0.2438483834266662,0.6912268400192261,0.304396241903305,0.4513794183731079,0.3794481456279754,0.6027780175209045,0.4514620304107666,0.517827570438385,0.2354484349489212,0.2221162170171737,0.3093825280666351,0.2622486650943756,0.2236697524785995,0.2280397266149521,0.2629886865615845,0.177623450756073,0.6761804223060608,0.2981509268283844,0.3023065030574798,0.2162367105484008,0.3930500447750091,0.3306365609169006,0.3994942009449005,0.2724266946315765,0.3415113985538482,0.1688352078199386,0.4414181411266327,0.406309574842453,0.596790075302124,0.3259349167346954,0.6193234920501709,0.2164699733257293,0.4272675216197967,0.533831775188446,0.3358366191387176,0.223700612783432,0.385298877954483,0.3432630002498626,0.5005122423171997,0.1573287844657898,0.2298376262187957,0.4330520033836365,0.3222289085388183,0.3900336027145386,0.4229673743247986,0.2398582398891449,0.2630386054515838,0.4061502516269684,0.270391970872879,0.585757315158844,0.3402963876724243,0.408945769071579,0.31065434217453,0.6168972849845886,0.4046345353126526,0.4597696959972381
P5207,0.3099797070026397,0.2108204662799835,0.445162832736969,0.4446871876716614,0.5216737985610962,0.3491125106811523,0.3696162104606628,0.6636311411857605,0.5015469789505005,0.5655255317687988,0.7219523191452026,0.3719838857650757,0.3324371874332428,0.2821235358715057,0.3570624887943268,0.3889403939247131,0.4180595874786377,0.5329140424728394,0.4486092329025268,0.4787460565567016,0.5646759867668152,0.3128250539302826,0.4173158407211303,0.3677089810371399,0.4964732527732849,0.5945190787315369,0.3542084991931915,0.2928351759910583,0.4823424816131592,0.3733440637588501,0.6534830331802368,0.2425245344638824,0.3567877411842346,0.4549040794372558,0.5059570074081421,0.3203864097595215,0.4309585988521576,0.4154386818408966,0.3978192806243896,0.2745648622512817,0.3263965547084808,0.3439967930316925,0.3411264717578888,0.4877802729606628,0.3420932292938232,0.5587666630744934,0.4814469814300537,0.5443053245544434,0.4555688500404358,0.2520332336425781,0.4714685678482055,0.3463038504123688,0.5375368595123291,0.3459085524082184,0.2879650890827179,0.3932574093341827,0.4258981943130493,0.3455901741981506,0.4544887244701385,0.3914246261119842,0.3208616375923157,0.4181729853153229,0.2778077125549316,0.2497465759515762,0.4463387131690979,0.2349144667387008,0.4379626512527466,0.3636331856250763,0.4078890979290008,0.3279131054878235,0.4298606812953949,0.2429095208644867,0.3934033215045929,0.7014983892440796,0.4632170498371124,0.3077863156795501,0.4536696970462799,0.2695952951908111,0.5925208330154419,0.2209076732397079,0.3236764669418335,0.4432159662246704,0.5061610341072083,0.2418673485517501,0.3852238059043884,0.4706591069698334,0.507030189037323,0.3967345654964447,0.4596853256225586,0.4033665657043457,0.3420855104923248,0.3829532265663147,0.470208466053009,0.5323955416679382,0.4089579880237579,0.4759902656078338
P5208,0.2018954157829284,0.227583110332489,0.3991971909999847,0.260703444480896,0.3726290762424469,0.1556930541992187,0.2118231356143951,0.2232616692781448,0.2403601855039596,0.373208999633789,0.2491057962179184,0.3141735196113586,0.3767195641994476,0.2773029208183288,0.3328580260276794,0.2423952966928482,0.5189745426177979,0.3038597702980041,0.6416066884994507,0.3518410325050354,0.4445793032646179,0.3505255579948425,0.7360706925392151,0.3061932921409607,0.2876860201358795,0.426896721124649,0.4244012832641601,0.1637318432331085,0.4873987138271332,0.3798779249191284,0.3685947060585022,0.1660174876451492,0.3022209405899048,0.5616036057472229,0.5589532256126404,0.3555663228034973,0.4393799006938934,0.3193424642086029,0.2882891297340393,0.3892170786857605,0.2243314236402511,0.214266836643219,0.3053452968597412,0.3550028800964355,0.3567745089530945,0.3486813604831695,0.2696796655654907,0.3363964259624481,0.1792478859424591,0.2774570882320404,0.3227712512016296,0.1755658686161041,0.2064708918333053,0.2488690167665481,0.2220254391431808,0.1564784198999405,0.2734606862068176,0.397983193397522,0.2360062599182129,0.2898399829864502,0.5011104345321655,0.2067164927721023,0.4101298153400421,0.2471783459186554,0.3926736414432525,0.1738578528165817,0.5938349366188049,0.2619274854660034,0.3814283907413482,0.2546007335186004,0.724639356136322,0.1937368214130401,0.3168272376060486,0.5838788151741028,0.3432464301586151,0.1484486162662506,0.3668582737445831,0.3617799878120422,0.5093402862548828,0.1277195513248443,0.3055281639099121,0.5357840061187744,0.3416429460048675,0.3952138423919678,0.5709468722343445,0.3143202662467956,0.3526126444339752,0.2983789145946502,0.2599535882472992,0.3033728003501892,0.2677730023860931,0.2601547539234161,0.3757032752037048,0.3508642911911011,0.4448966085910797,0.3327491581439972
P5209,0.3210251033306122,0.1885367482900619,0.5582005381584167,0.3009264469146728,0.2759953737258911,0.1879635900259018,0.260178655385971,0.1540978997945785,0.3290533423423767,0.3375771343708038,0.3576517403125763,0.1710808426141739,0.3119425475597381,0.2211645096540451,0.2969520688056946,0.2692531645298004,0.2754431962966919,0.2307333201169967,0.372145414352417,0.2993525862693786,0.4020713269710541,0.2243806719779968,0.4094299972057342,0.1985860466957092,0.2510329484939575,0.401284396648407,0.4771415889263153,0.1915099322795868,0.3401151597499847,0.2077191621065139,0.3823637068271637,0.1455262005329132,0.2291406393051147,0.5063336491584778,0.2122087031602859,0.2316886037588119,0.3424555659294128,0.1895847469568252,0.1656673699617386,0.243974968791008,0.2585867345333099,0.3382229506969452,0.277759850025177,0.2312575429677963,0.2733339071273803,0.3374947011470794,0.2990201711654663,0.4395177364349365,0.2358986884355545,0.2374551594257354,0.4092428982257843,0.2251331657171249,0.272830069065094,0.2957811653614044,0.2299752980470657,0.2426950335502624,0.266452819108963,0.3894755840301513,0.2180799692869186,0.1801194697618484,0.4280712604522705,0.2019897401332855,0.315410852432251,0.2138870358467102,0.3873423337936401,0.1634749621152877,0.4063125848770141,0.2629611790180206,0.413535863161087,0.2147143632173538,0.4457046091556549,0.2011228650808334,0.2942205667495727,0.4883126318454742,0.4784185588359833,0.1672209352254867,0.2676561772823334,0.2061985284090042,0.2728048861026764,0.1423327326774597,0.2014409899711609,0.6081330180168152,0.2091599553823471,0.2575636804103851,0.4255079925060272,0.2068146169185638,0.1925842463970184,0.1914614886045456,0.2140828818082809,0.3422470986843109,0.3188840746879577,0.2479113191366195,0.2929492592811584,0.365836501121521,0.3063263893127441,0.4295424818992615
P5210,0.3873254060745239,0.1881296783685684,0.345653623342514,0.4977821707725525,0.5750083923339844,0.4046008586883545,0.2312006503343582,0.2618636190891266,0.2744305729866028,0.4123053848743438,0.3600395619869232,0.2715534269809723,0.5644603371620178,0.3224099278450012,0.3805992007255554,0.2527785897254944,0.5415027141571045,0.4319522380828857,0.5312663912773132,0.3256775736808777,0.4390007555484772,0.3569360971450805,0.6953548192977905,0.2436380833387375,0.3591256439685821,0.5949059724807739,0.3633070588111877,0.2007788568735122,0.4248571991920471,0.1734839826822281,0.4356200397014618,0.2463914304971695,0.3409720063209533,0.5753822922706604,0.3002869188785553,0.3432324528694153,0.5229097008705139,0.3353698849678039,0.2237226217985153,0.3642008900642395,0.3224623799324035,0.3168746829032898,0.2501613795757293,0.269572764635086,0.386047899723053,0.3807337284088135,0.3243214190006256,0.5422759056091309,0.2649692595005035,0.1789751201868057,0.4198025166988373,0.4416900873184204,0.4518640637397766,0.3977755606174469,0.3668884634971618,0.2680404186248779,0.419425368309021,0.334615409374237,0.3499199748039245,0.3060089647769928,0.4877876341342926,0.2796678245067596,0.3041825294494629,0.2988065779209137,0.2962359189987182,0.3101526796817779,0.4699752330780029,0.3913291096687317,0.4143515527248382,0.2692158222198486,0.5887593030929565,0.2443853914737701,0.4189815819263458,0.4639255702495575,0.3762624859809875,0.1916906088590622,0.3701128661632538,0.2989693880081177,0.4754388034343719,0.1794516742229461,0.2673080861568451,0.5991633534431458,0.2945987582206726,0.3014350831508636,0.4176421463489532,0.2955004572868347,0.2617015540599823,0.315138429403305,0.3293508887290954,0.3581579029560089,0.2947707772254944,0.2215108126401901,0.3301841020584106,0.4130983352661133,0.3493731319904327,0.4021681547164917
P5211,0.2039517611265182,0.1826652437448501,0.3177609145641327,0.1825851947069168,0.624198317527771,0.2157795429229736,0.1731019169092178,0.1923117488622665,0.3896597623825073,0.4082004725933075,0.3766238093376159,0.3276207745075226,0.3937319219112396,0.5408738851547241,0.4391655027866363,0.2979588508605957,0.3564542531967163,0.2380415350198745,0.2463402450084686,0.3223462700843811,0.3781271576881408,0.2860186696052551,0.4490512311458587,0.2377756088972091,0.3031953573226928,0.6308577060699463,0.5020678639411926,0.4230380654335022,0.3420761823654175,0.2112651318311691,0.4344784915447235,0.1595471650362014,0.2461674958467483,0.5164480209350586,0.4085895121097564,0.2887460887432098,0.3422853052616119,0.228297933936119,0.3964042961597442,0.2343685925006866,0.3087873756885528,0.3407028913497925,0.2376961261034011,0.2723799645900726,0.3333069384098053,0.3696370124816894,0.2292738705873489,0.2824508845806122,0.4353338181972503,0.1945390850305557,0.2968455851078033,0.1725527048110962,0.3481222689151764,0.2583709955215454,0.1818431317806244,0.2458800226449966,0.4216269254684448,0.4089240431785583,0.2849583029747009,0.2662131190299988,0.4587504863739013,0.32718226313591,0.4012553095817566,0.287089854478836,0.4921988844871521,0.261109709739685,0.3440316021442413,0.3568235337734222,0.3573990166187286,0.2882384359836578,0.3825911581516266,0.2122190743684768,0.372943252325058,0.6836531758308411,0.4929377734661102,0.4247516691684723,0.3151016235351562,0.1882216930389404,0.4612192809581756,0.1341482996940612,0.2182163745164871,0.5869463682174683,0.3872795701026916,0.3445431590080261,0.3849356174468994,0.2175634354352951,0.3233906328678131,0.276050329208374,0.3295720517635345,0.3170606791973114,0.3078731000423431,0.2579456865787506,0.2823815643787384,0.3634424805641174,0.2923103272914886,0.3137438893318176
P5212,0.2588633596897125,0.2008337974548339,0.2965967953205108,0.2911109924316406,0.2339046597480774,0.2385303676128387,0.2280771434307098,0.1724498122930526,0.3541907370090484,0.2794690728187561,0.2881824076175689,0.2767255902290344,0.2105871438980102,0.2138827443122863,0.3898596167564392,0.1725095361471176,0.3134412765502929,0.1791743636131286,0.2397694587707519,0.3482907712459564,0.256122887134552,0.1785140931606292,0.3312474489212036,0.1906073838472366,0.319693773984909,0.3892882168292999,0.3485066294670105,0.2367782592773437,0.3464749455451965,0.1910606771707534,0.5260334610939026,0.1341442912817001,0.2517384588718414,0.3568933606147766,0.3237273395061493,0.2304492592811584,0.2755776047706604,0.4466480314731598,0.2457325160503387,0.3959065973758697,0.2762738466262817,0.3987112641334533,0.2794992625713348,0.2958037555217743,0.2710347175598144,0.4051807224750519,0.3368648588657379,0.3931016623973846,0.2412051409482956,0.1670812219381332,0.3432506918907165,0.2461216747760772,0.2914034724235534,0.212603285908699,0.2088681757450103,0.1589161902666092,0.3517393171787262,0.2379195839166641,0.3536302745342254,0.1802833974361419,0.2030829191207885,0.2646026015281677,0.3915772140026092,0.2289482653141021,0.3397447466850281,0.2646932601928711,0.2971388101577759,0.3100440502166748,0.3519326448440552,0.2342262715101242,0.4404490888118744,0.2100764214992523,0.263538122177124,0.433970034122467,0.4050500392913818,0.2055349200963974,0.3012652695178985,0.1748566329479217,0.3989624381065368,0.1928562074899673,0.2679260969161987,0.4486899375915527,0.3112586140632629,0.1897258311510086,0.3801811635494232,0.3392881751060486,0.2964246571063995,0.1907970607280731,0.206879585981369,0.3709572851657867,0.3790065050125122,0.2708401978015899,0.26133593916893,0.4379808008670807,0.3103504180908203,0.3800486028194427
P5212,0.4167136549949646,0.2620086967945099,0.4059523344039917,0.329276978969574,0.3684002757072449,0.2621307969093323,0.346884548664093,0.1939063370227813,0.6822373270988464,0.3831011950969696,0.3717631101608276,0.224723681807518,0.4814196228981018,0.2415019869804382,0.4643500447273254,0.3328176438808441,0.4175642728805542,0.2324536889791488,0.4338226020336151,0.4978465437889099,0.6709163784980774,0.423387199640274,0.6677943468093872,0.2840628623962402,0.3432103991508484,0.5390931367874146,0.4452269375324249,0.2155924290418625,0.4501265287399292,0.3219553828239441,0.588927149772644,0.2305488884449005,0.3454931676387787,0.5436685085296631,0.3564708530902862,0.4689412117004394,0.4146527945995331,0.2879862785339355,0.3271989226341247,0.2673245072364807,0.2647860646247864,0.4644064009189605,0.3017020523548126,0.409490704536438,0.3661915063858032,0.4366683661937713,0.3890007138252258,0.628028392791748,0.360967218875885,0.28948575258255,0.4584033191204071,0.4610928297042846,0.4922512471675873,0.1945296823978424,0.3385489881038666,0.2157821208238601,0.5155790448188782,0.4297690093517303,0.529941976070404,0.274813175201416,0.3731772601604461,0.3648213446140289,0.4792786538600921,0.3886983692646026,0.4327816069126129,0.2397075146436691,0.4219428896903991,0.527113676071167,0.5907505750656128,0.4829220473766327,0.5896539092063904,0.2388645708560943,0.3622804582118988,0.5324373841285706,0.448942631483078,0.1964039504528045,0.4059343039989471,0.2417288869619369,0.5364663004875183,0.1887474209070205,0.3192978501319885,0.4904279112815857,0.2978043258190155,0.4681766331195831,0.311060220003128,0.4066488146781921,0.2464003562927246,0.2143156379461288,0.2343877553939819,0.5068255066871643,0.3181028068065643,0.2765906453132629,0.4076231122016907,0.4404890537261963,0.3159822523593902,0.6153922080993652
P5215,0.2454333007335662,0.3156217038631439,0.3047875463962555,0.2798515856266022,0.3990594148635864,0.2400824725627899,0.3103005886077881,0.2073567658662796,0.5654577612876892,0.3957078754901886,0.2922987341880798,0.2450527995824813,0.3521939218044281,0.3284021019935608,0.349586933851242,0.24639393389225,0.3992066979408264,0.2621762752532959,0.6020374298095703,0.3922538459300995,0.3148675858974457,0.2423965334892273,0.4254540801048279,0.2132306098937988,0.5818201303482056,0.5476734042167664,0.3727482855319977,0.2923557460308075,0.3632466197013855,0.2854346334934234,0.5868515372276306,0.2350897490978241,0.2514488697052002,0.2567124366760254,0.32768514752388,0.3585322797298431,0.2344629168510437,0.42563596367836,0.2179899662733078,0.2551025450229645,0.1883668899536132,0.4646404385566711,0.5153309106826782,0.3736704587936401,0.4762278199195862,0.2628422081470489,0.3039852678775787,0.3936704695224762,0.2536885738372803,0.2972894310951233,0.2470018416643142,0.2150206416845321,0.2989262640476227,0.2974477112293243,0.2621314525604248,0.224226713180542,0.4718393385410309,0.3593358695507049,0.3193672895431518,0.2695310115814209,0.3038361072540283,0.2499776035547256,0.4462311863899231,0.4053033292293548,0.3383626639842987,0.1884558647871017,0.5666183233261108,0.3520465195178985,0.3330333530902862,0.2672976553440094,0.5196519494056702,0.2061683982610702,0.4673865139484405,0.531751275062561,0.3605910241603851,0.2466200143098831,0.4312966167926788,0.3081832528114319,0.4667882025241852,0.2512019574642181,0.2071080356836319,0.34590944647789,0.3439514636993408,0.2825378775596618,0.2816712260246277,0.3039667010307312,0.1755406707525253,0.2365257740020752,0.2366556972265243,0.4244149029254913,0.5627054572105408,0.2852286100387573,0.4010827541351318,0.2375673204660415,0.4374807476997375,0.3536720275878906
