,TCpol,TCs,Amyg,OFCi,INSa,OFCm,TCc,OFCl,TCi,PHC,INS-G,PMCvl,VACv,INSp,PFCpol,HIP,sACC,PFCvl,V2,PFCm,TCv,VACd,V1-right,PFCcl,A2,CCr,CCp,ACC,S2,S1,A1,M1,PCi,PCm,PFCdm,PCip,PCs,FEF,PFCdl,PMCm,PMCdl,Thal-Front,Thal-Temp,Thal-OccPar,BG-caud,BG-put,BG-pall,BG-nac,TCpol,TCs,Amyg,OFCi,INSa,OFCm,TCc,OFCl,TCi,PHC,INS-G,PMCvl,VACv,INSp,PFCpol,HIP,sACC,PFCvl,V2,PFCm,TCv,VACd,V1-left,PFCcl,A2,CCr,CCp,ACC,S2,S1,A1,M1,PCi,PCm,PFCdm,PCip,PCs,FEF,PFCdl,PMCm,PMCdl,Thal-Front,Thal-Temp,Thal-OccPar,BG-caud,BG-put,BG-pall,BG-nac
P5259,0.27153652906417847,0.22069132328033447,0.3558792173862457,0.2177487462759018,0.32330161333084106,0.328705370426178,0.2962632179260254,0.21630530059337616,0.5814602375030518,0.3480037748813629,0.26610180735588074,0.3456711769104004,0.4854476749897003,0.37105342745780945,0.4465447664260864,0.37093549966812134,0.4046836495399475,0.24615652859210968,0.44838082790374756,0.4642494022846222,0.36144667863845825,0.38827404379844666,0.47311896085739136,0.33699116110801697,0.43927302956581116,0.35944318771362305,0.4326438903808594,0.31182432174682617,0.42545852065086365,0.38822975754737854,0.4858933985233307,0.3302205204963684,0.33795079588890076,0.44527649879455566,0.40292391180992126,0.3582175374031067,0.3929484784603119,0.42350533604621887,0.3195973336696625,0.4641215205192566,0.3163144290447235,0.6901828050613403,0.5041087865829468,0.5438032746315002,0.4627017676830292,0.5321062207221985,0.3840413987636566,0.629041314125061,0.23015941679477692,0.2057129591703415,0.35641396045684814,0.26044607162475586,0.3652574121952057,0.3064509630203247,0.2611039876937866,0.3243371546268463,0.564197838306427,0.3626541495323181,0.4283863306045532,0.2767178416252136,0.3469107747077942,0.3767210841178894,0.45130518078804016,0.4359380602836609,0.3564029932022095,0.26451486349105835,0.39000970125198364,0.47060301899909973,0.5284062623977661,0.4152957499027252,0.5803811550140381,0.4328297972679138,0.4556306302547455,0.5181798338890076,0.3941231667995453,0.327332466840744,0.4088248610496521,0.441716730594635,0.5705751180648804,0.47330203652381897,0.288314551115036,0.498701274394989,0.4188537895679474,0.40229332447052,0.42712756991386414,0.3288705348968506,0.3051639199256897,0.3697454035282135,0.30556586384773254,0.6400739550590515,0.4834398925304413,0.5488415360450745,0.4041329622268677,0.5098925828933716,0.5233963131904602,0.5048441290855408
P5232,0.6313412189483643,0.17524096369743347,0.765992283821106,0.5037559866905212,0.32784441113471985,0.5531198978424072,0.5171430706977844,0.29421693086624146,0.531219482421875,0.35281893610954285,0.44496867060661316,0.27085867524147034,0.31793782114982605,0.3081889748573303,0.2943085730075836,0.48713964223861694,0.38136306405067444,0.3540117144584656,0.33633607625961304,0.42541396617889404,0.48117437958717346,0.28909581899642944,0.35216906666755676,0.2361060082912445,0.355983167886734,0.6307709813117981,0.40807339549064636,0.23848195374011993,0.4064119756221771,0.26348140835762024,0.6195236444473267,0.2987174689769745,0.32365068793296814,0.38146090507507324,0.3656056523323059,0.2958891987800598,0.27312278747558594,0.379520446062088,0.28140878677368164,0.4061111509799957,0.21572670340538025,0.3220699429512024,0.48202383518218994,0.3483930826187134,0.2814224660396576,0.34895920753479004,0.7282591462135315,0.47009995579719543,0.34207627177238464,0.2540833652019501,0.43823859095573425,0.3585478365421295,0.32245656847953796,0.3329317271709442,0.4349067211151123,0.29999107122421265,0.7128666639328003,0.3811400830745697,0.24505676329135895,0.29342538118362427,0.35413169860839844,0.22298021614551544,0.2982596158981323,0.4674009680747986,0.3277686536312103,0.3664710223674774,0.28424569964408875,0.4174095690250397,0.3719791769981384,0.3278718888759613,0.24383465945720673,0.23985013365745544,0.33929452300071716,0.5591244101524353,0.3105733096599579,0.27800241112709045,0.36191707849502563,0.34582480788230896,0.4384508728981018,0.3555409014225006,0.21245244145393372,0.30952635407447815,0.27151966094970703,0.29758545756340027,0.2892162799835205,0.2799864411354065,0.28048163652420044,0.23880866169929504,0.20649324357509613,0.3607802391052246,0.26203808188438416,0.36438286304473877,0.37061864137649536,0.3411480784416199,0.6257718801498413,0.34433871507644653
P5235,0.3599230945110321,0.2527991533279419,0.4750571548938751,0.3497057259082794,0.2920233905315399,0.18072843551635742,0.31609785556793213,0.22072626650333405,0.5882524847984314,0.4881352186203003,0.3765186071395874,0.20642578601837158,0.6138898134231567,0.25449874997138977,0.47659268975257874,0.2995254695415497,0.44356781244277954,0.31673213839530945,0.4264654815196991,0.44487252831459045,0.6123157143592834,0.3825964033603668,0.6473609805107117,0.27319949865341187,0.3066152036190033,0.48482903838157654,0.3375592529773712,0.21691563725471497,0.40420421957969666,0.3188494145870209,0.46109744906425476,0.2262011617422104,0.2996842861175537,0.5507689714431763,0.36348968744277954,0.39278268814086914,0.4359879791736603,0.26117435097694397,0.2574515640735626,0.24632006883621216,0.3149712383747101,0.36023736000061035,0.3397461175918579,0.48880720138549805,0.4143192768096924,0.4879155158996582,0.4339314103126526,0.5955684781074524,0.27399560809135437,0.25694552063941956,0.463010311126709,0.3053104281425476,0.4616505801677704,0.24020357429981232,0.519804835319519,0.1637437641620636,0.5095228552818298,0.340299516916275,0.38163381814956665,0.2525959014892578,0.3510131239891052,0.3134077787399292,0.5014131665229797,0.37357842922210693,0.5101816654205322,0.24674539268016815,0.3490004539489746,0.40874433517456055,0.565710723400116,0.4060860872268677,0.621086835861206,0.19098109006881714,0.383379727602005,0.4572271704673767,0.37478724122047424,0.29009929299354553,0.3547264039516449,0.23434363305568695,0.47714924812316895,0.17072421312332153,0.24766337871551514,0.5213022828102112,0.3007107973098755,0.45861026644706726,0.3730316460132599,0.3208892345428467,0.2595970630645752,0.19860778748989105,0.23598957061767578,0.4253857433795929,0.46354320645332336,0.339208722114563,0.40373626351356506,0.4431753158569336,0.4117037355899811,0.5729698538780212
P5203,0.41084903478622437,0.18310390412807465,0.5257253646850586,0.3113406300544739,0.33194500207901,0.4557088017463684,0.5153346061706543,0.2797201871871948,0.5046865344047546,0.43247759342193604,0.32533538341522217,0.3273581862449646,0.626727819442749,0.3880523443222046,0.3316299021244049,0.36937448382377625,0.4476034939289093,0.22305811941623688,0.542944610118866,0.34962892532348633,0.449490487575531,0.32703840732574463,0.4788055717945099,0.39577144384384155,0.25394442677497864,0.5066443085670471,0.3278326094150543,0.412504106760025,0.450532466173172,0.27678000926971436,0.40469497442245483,0.2662079334259033,0.30105212330818176,0.5324015021324158,0.3320937752723694,0.34025537967681885,0.43756577372550964,0.3424060642719269,0.3178837299346924,0.3619025945663452,0.2837984263896942,0.5527601838111877,0.5760072469711304,0.4742407500743866,0.46405741572380066,0.47572094202041626,0.38321614265441895,0.4823770523071289,0.5165722370147705,0.20495501160621643,0.47306257486343384,0.2522439658641815,0.3587673306465149,0.38087573647499084,0.42780962586402893,0.20896345376968384,0.5969801545143127,0.3636670410633087,0.4211574196815491,0.2828223407268524,0.5094615817070007,0.4077399671077728,0.3838611841201782,0.4077552556991577,0.40618643164634705,0.2801881730556488,0.367728054523468,0.4614544212818146,0.4963919520378113,0.32296332716941833,0.44834551215171814,0.4888665974140167,0.4260822832584381,0.5620672702789307,0.4351574182510376,0.41932541131973267,0.49885526299476624,0.25697606801986694,0.5310437083244324,0.27266260981559753,0.3049766421318054,0.5858256220817566,0.4735073447227478,0.47642189264297485,0.5148776769638062,0.5265471339225769,0.5341734290122986,0.3045100271701813,0.29747575521469116,0.5058563351631165,0.4599308967590332,0.5259271264076233,0.48372113704681396,0.41382795572280884,0.4500952363014221,0.4541134834289551
P5258,0.2888876795768738,0.19618134200572968,,0.32532602548599243,0.6090868711471558,0.5583011507987976,0.5200151801109314,0.33929383754730225,0.9176584482192993,,,0.3330793082714081,0.6327803134918213,0.3244819939136505,,0.6835728883743286,,0.3059976398944855,0.35685592889785767,,0.9087311625480652,0.423605740070343,0.37719446420669556,0.3290216624736786,0.5966565608978271,,0.5000657439231873,0.3421957790851593,0.43198996782302856,0.436516135931015,,0.32619547843933105,0.2954452931880951,0.7055562734603882,0.6553052663803101,0.3948320746421814,0.40947863459587097,0.7119424343109131,0.26879286766052246,0.6377336978912354,0.392580509185791,,0.6286070346832275,,0.580440878868103,0.6401128172874451,,,0.3361221253871918,0.26801586151123047,,0.5062305331230164,0.5858399271965027,0.7593010663986206,0.33436599373817444,0.2968616783618927,0.8024582862854004,0.6780199408531189,,0.3514740467071533,0.7406684756278992,0.2567559480667114,,0.5133131146430969,,0.28688520193099976,0.3982090353965759,,0.8094145655632019,0.3386576473712921,0.327257364988327,0.27254071831703186,0.6517603397369385,,0.45427313446998596,0.3041052222251892,0.4423312842845917,0.4793056845664978,,0.4207974374294281,0.24856117367744446,0.8311414122581482,,0.4897153973579407,0.3972630798816681,,0.3036361634731293,,1.000000238418579,,,,0.3614085614681244,0.5536690354347229,,
P52125,0.2939298152923584,0.18500082194805145,0.3307603597640991,0.2112688571214676,0.2990480065345764,0.2633453607559204,0.4584099054336548,0.20864655077457428,0.6262661814689636,0.386048287153244,0.33512717485427856,0.23300990462303162,0.5018067955970764,0.32001176476478577,0.5137547254562378,0.3334798514842987,0.5184822678565979,0.2954982817173004,0.3280065655708313,0.3598369359970093,0.5611939430236816,0.45980334281921387,0.32734838128089905,0.28091272711753845,0.30856674909591675,0.4720207154750824,0.30067598819732666,0.2555847764015198,0.37278735637664795,0.3589416742324829,0.380662739276886,0.3761739134788513,0.24924544990062714,0.37319043278694153,0.30030348896980286,0.44771134853363037,0.3909801244735718,0.2786925435066223,0.2131163477897644,0.30099162459373474,0.30596643686294556,0.4576164484024048,0.32351505756378174,0.29795634746551514,0.5529120564460754,0.6351487636566162,0.5096801519393921,0.560431182384491,0.2465183436870575,0.192254900932312,0.38240715861320496,0.2097197026014328,0.3689129054546356,0.18237191438674927,0.21848781406879425,0.359749436378479,0.4195389151573181,0.3225795328617096,0.4414239823818207,0.24123568832874298,0.484745055437088,0.3226511776447296,0.39628365635871887,0.22171178460121155,0.5191487669944763,0.25441738963127136,0.3698197305202484,0.32266122102737427,0.5339754223823547,0.4034942388534546,0.35531672835350037,0.4138396382331848,0.37012919783592224,0.49327224493026733,0.27500277757644653,0.29333391785621643,0.35825616121292114,0.3317531645298004,0.4700915813446045,0.36166635155677795,0.27734482288360596,0.3408859670162201,0.483976274728775,0.451125830411911,0.3124202489852905,0.3857231140136719,0.4015962779521942,0.2627182602882385,0.3799542784690857,0.38215765357017517,0.3317117989063263,0.31610405445098877,0.5058578252792358,0.616545557975769,0.4518721401691437,0.5240499973297119
P5260,0.49245116114616394,0.20179526507854462,0.3643787205219269,0.2727825343608856,0.42235833406448364,0.19395866990089417,0.20783527195453644,0.18014559149742126,0.5355168581008911,0.357248991727829,0.3864811956882477,0.24384011328220367,0.3524940311908722,0.3661518692970276,0.31781142950057983,0.21997393667697906,0.285253643989563,0.300159215927124,0.4171796143054962,0.4153762459754944,0.44099825620651245,0.44193804264068604,0.5069727897644043,0.28687426447868347,0.576092004776001,0.5357180237770081,0.4012543857097626,0.25939106941223145,0.523864209651947,0.3314998149871826,0.6433636546134949,0.3440343737602234,0.36361628770828247,0.4333035945892334,0.4576767385005951,0.3933829367160797,0.42420077323913574,0.28869256377220154,0.37911173701286316,0.3348236382007599,0.28397366404533386,0.36957255005836487,0.35190054774284363,0.2928048074245453,0.4642181098461151,0.35812339186668396,0.30944299697875977,0.4684869050979614,0.18282023072242737,0.2480953335762024,0.3309802711009979,0.2028503566980362,0.27426376938819885,0.20515747368335724,0.24841445684432983,0.21098674833774567,0.42430004477500916,0.3962355852127075,0.3693414032459259,0.2164800614118576,0.4280593693256378,0.3534300625324249,0.302746444940567,0.26522672176361084,0.2934733033180237,0.28815793991088867,0.49386662244796753,0.44011393189430237,0.415499210357666,0.31960874795913696,0.5444508194923401,0.26525095105171204,0.557187020778656,0.6101862788200378,0.49086442589759827,0.27820447087287903,0.4186836779117584,0.3808092474937439,0.6208739876747131,0.3067191541194916,0.27127203345298767,0.5588443279266357,0.35311731696128845,0.41347452998161316,0.37535783648490906,0.2686045467853546,0.35799527168273926,0.27635684609413147,0.4062843322753906,0.3978865146636963,0.4110066294670105,0.25313422083854675,0.36455681920051575,0.3472520112991333,0.31213894486427307,0.3727779984474182
P5205,0.3191154897212982,0.19929876923561096,,0.3303968608379364,0.7349686622619629,0.544900119304657,0.3779550790786743,0.467856228351593,0.7081734538078308,,,0.42486894130706787,0.6425358653068542,0.5160757303237915,,0.7403250336647034,,0.3748168349266052,0.36262986063957214,0.9999997019767761,0.8581745624542236,0.4094725549221039,0.47317370772361755,0.2392430305480957,0.6503844857215881,,0.49389103055000305,0.3605451285839081,0.3854725956916809,0.37041595578193665,,0.3140735626220703,0.3286196291446686,0.4550756514072418,0.9447148442268372,0.3974573314189911,0.4793684482574463,0.9087828397750854,0.2977379560470581,0.5729524493217468,0.40750810503959656,,0.6995804905891418,,0.5201439261436462,0.8781347274780273,,,0.453485369682312,0.2221164107322693,,0.2449924200773239,0.8581613898277283,0.6776405572891235,0.4580763578414917,0.4743107557296753,0.9097962975502014,0.9357713460922241,,0.45345431566238403,0.8083063960075378,0.35758695006370544,,0.5511853098869324,,0.37030795216560364,0.3616501986980438,,0.7204587459564209,0.3795185387134552,0.31934642791748047,0.23974546790122986,0.6333179473876953,1.0,0.44627970457077026,0.3425469696521759,0.43593958020210266,0.4697990417480469,,0.2959694564342499,0.366343230009079,0.5948241353034973,,0.4240223467350006,0.5404305458068848,,0.31589657068252563,0.6345425248146057,,,,,0.4844661056995392,0.6065760850906372,,
